StandardFile,AppType,MSBuild,PreCheckin,Pipeline,Automatable,AutomationNotes
GlobalPerformanceStandards,Database,No,No,Yes,Partial,"Same automation split as WebAppWebApi. Deciding which stored procedures/queries require a perf/load test is a judgment call based on expected data volume and query criticality - manual design decision, not automatable."
GlobalPerformanceStandards,ClassLibrary,No,No,Yes,Partial,"Same automation split as WebAppWebApi, narrowed further since this file is only Conditional for ClassLibrary - only applies to operations exposed on the package's public API surface. Deciding which public members qualify as ""hot-path"" is a manual design decision, not automatable."
GlobalLoggingStandards,WebAppWebApi,No,Yes,Yes,Yes,Presence of structured logging calls at required entry points (controller actions) and existence of a health-check endpoint are both automatable via static analysis of parsed code. Too slow/unnecessary for MSBuild; fits pre-checkin and pipeline.
GlobalLoggingStandards,Database,No,Yes,Yes,Yes,"Same automation and tier reasoning as WebAppWebApi, applied to the long-running maintenance job's entry point and logging calls rather than a controller action."
GlobalCachingStandards,WebAppWebApi,No,Yes,Yes,Partial,"Presence of the Redis distributed-cache client usage pattern (registration, cache-key construction) is automatable via static analysis. Whether the chosen cache expiration policy is correct for the data's actual volatility is a business-context judgment call static analysis cannot verify - Add-ManualItem, not a hard gate."
GlobalDatabaseStandards,Database,No,Yes,Yes,Partial,"Naming conventions for schema objects, presence of required folders (Deployment/, MigrationScripts/, etc. per GlobalSolutionStructureStandards Section 6), and use of parameterized queries over inline SQL are automatable via static analysis of .sql files. Whether a migration script is safe to run against production data (data-loss risk, backward compatibility) requires DBA-level judgment and is not automatable - always Add-ManualItem for migration scripts specifically."
GlobalNuGetLibraryStandards,ClassLibrary,No,Yes,Yes,Yes,"Version-range format in consuming .csproj files ([MAJOR.0, MAJOR+1.0) pattern) and semantic-version bump correctness relative to the prior published version are both automatable by parsing project files and comparing against the last published package version."
GlobalAzureDevOpsPipelineStandards,WebAppWebApi,No,Yes,Yes,Yes,YAML schema/lint validation and structural conformance (required stages, task references, retry/condition syntax) are fully automatable via static parsing of the pipeline YAML files.
GlobalAzureDevOpsPipelineStandards,Database,No,Yes,Yes,Yes,Same automation and tier reasoning as WebAppWebApi - the pipeline YAML structure requirements do not differ by app type at the automation level.
GlobalAzureDevOpsPipelineStandards,ClassLibrary,No,Yes,Yes,Yes,"Same automation and tier reasoning as WebAppWebApi, plus the publish/version-bump stage structure specific to package repos, still fully static-parsing checkable."
GlobalTypeScriptStandards,WebAppWebApi,No,Yes,Yes,Yes,"Fully automatable via existing TypeScript compiler strict-mode checks and ESLint rule violations, run against the SPA client project's changed files. Only relevant when the repo's front end is a SPA client per applicability."
GlobalReactProjectStandards,WebAppWebApi,No,Yes,Yes,Yes,"Component/hook file casing, folder-depth limits, and feature-first folder layout are all automatable via static file-path and ESLint-rule checks against the SPA client project's changed files. Only relevant when that SPA client is built with React per applicability."
GlobalRepositoryStandards,WebAppWebApi,No,Yes,Yes,Yes,"Feature/hotfix branch-naming pattern and the direct-commit-to-dev/main guard are fully automatable from local branch state (no code parsing needed) - already implemented in ValidationEngine.ps1 at pre-checkin, with pipeline as a backstop for commits that bypass the local hook. Not an MSBuild concern - MSBuild has no branch/commit context."
GlobalRepositoryStandards,Database,No,Yes,Yes,Yes,Same automation and tier reasoning as WebAppWebApi - branch-naming and direct-commit rules do not differ by app type.
GlobalRepositoryStandards,ClassLibrary,No,Yes,Yes,Yes,Same automation and tier reasoning as WebAppWebApi - branch-naming and direct-commit rules do not differ by app type.
GlobalSolutionStructureStandards,WebAppWebApi,Yes,Yes,Yes,Yes,"Folder existence, extraneous-folder detection, and folder-naming checks are purely structural filesystem checks against the WebAppWebApi folder set (Section 3-5) - fully automatable and fast enough for all three tiers. MSBuild (Tier0Check.ps1) already implements a naming-convention subset."
GlobalSolutionStructureStandards,Database,Yes,Yes,Yes,Yes,"Same automation and tier reasoning as WebAppWebApi, checked against the database-project folder set (Section 6: Deployment/, MigrationScripts/, Proposals/, Reports/, Runbooks/, Security/, Tests/) instead of the application folder set. Some folders in that set are optional per the standard's own wording (""may or may not exist""), so absence alone is not a violation - only presence of a folder outside the defined set, or a non-conforming name, is."
GlobalSolutionStructureStandards,ClassLibrary,Yes,Yes,Yes,Yes,"Same automation and tier reasoning as WebAppWebApi, checked against the shared-library folder set (Section 7) including the NuGet packaging/versioning-adjacent project layout."
